model,filepath,actual,predicted,predicted_index,confidence_percent
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/271c42ee-ce8e-4cd6-90bf-095d7dcd7b18___JR_HL 4028.JPG,Other_Images,Healthy,0,99.9993667602539
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/527a0f49-31af-413b-b1b7-f7abd7095df9___JR_HL 4306.JPG,Other_Images,Healthy,0,99.99247741699219
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/71a6d2b0-9f29-44b2-86b4-00f7dfa5a41d___JR_HL 9658_180deg.JPG,Other_Images,Healthy,0,99.99665832519531
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/78b2463c-63d5-42f9-b0fa-935d72b6e77f___JR_HL 9750_180deg.JPG,Other_Images,Healthy,0,99.99964141845703
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/80bdbf48-7285-4c38-981b-7f754cd99834___JR_HL 4138_180deg.JPG,Other_Images,Healthy,0,99.95489501953125
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/829e8a7a-c296-4a6a-acac-714ff68044f2___JR_HL 4003_180deg.JPG,Other_Images,Healthy,0,99.9881362915039
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/p1.JPG,Other_Images,Powdery Mildew,1,99.99826049804688
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/p2.JPG,Other_Images,Powdery Mildew,1,99.99993896484375
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/p3.JPG,Other_Images,Powdery Mildew,1,100.0
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/p4.JPG,Other_Images,Powdery Mildew,1,100.0
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/p5.JPG,Other_Images,Powdery Mildew,1,99.99951171875
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/p6.JPG,Other_Images,Powdery Mildew,1,100.0
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/p7.JPG,Other_Images,Powdery Mildew,1,99.99995422363281
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/p8.JPG,Other_Images,Powdery Mildew,1,100.0
2.keras,/home/amit/code_only/code/new/cherry_disease_classifier/data/Test/Other_Images/p9.JPG,Other_Images,Powdery Mildew,1,99.99980926513672
