model,filepath,actual,predicted,predicted_index,confidence_percent
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/B1.JPG,Other_Images,Bacterial Spot,0,98.24864959716797
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/B2.JPG,Other_Images,Bacterial Spot,0,99.92842102050781
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/E1.JPG,Other_Images,Early Blight,1,99.99978637695312
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/E2.JPG,Other_Images,Early Blight,1,99.99800872802734
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/H1.JPG,Other_Images,Healthy,2,100.0
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/H2.JPG,Other_Images,Healthy,2,100.0
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/L1.JPG,Other_Images,Late Blight,3,99.01671600341797
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/L2.JPG,Other_Images,Late Blight,3,99.99726104736328
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/S1.JPG,Other_Images,Septoria Leaf Spot,4,100.0
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/S2.JPG,Other_Images,Septoria Leaf Spot,4,99.99998474121094
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/Y1.JPG,Other_Images,Yellow Leaf Curl Virus,5,99.9378890991211
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/Y2.JPG,Other_Images,Yellow Leaf Curl Virus,5,99.76280212402344
2.keras,/home/amit/code_only/code/new/tomato_disease_classifier/data/Test/Other_Images/Y3.JPG,Other_Images,Yellow Leaf Curl Virus,5,99.9999771118164
